"EventName"	"GroupName"	"RSVP"	"Date_ms"	"Date"	"Time"	"Fees"	"Location"	"Address"	"url"
"Longmont Networking Referral Group"	"4BR - Building Better Business by Referral"	7	1.534284e+12	"2018-08-14"	"03:00:00 PM"	"NULL"	"Dickens Tavern"	"300 Main Street"	"https://www.meetup.com/4BR-Building-Better-Business-by-Referral/events/252904743/"
"Potluck in the Park (North Boulder)"	"Lightworkers of Boulder & Beyond"	7	1534289400000	"2018-08-14"	"04:30:00 PM"	"NULL"	"North Boulder Park"	"9th & Dellwood Ave."	"https://www.meetup.com/LightworkersofBoulderandBeyond/events/250795118/"
"Spin into the Setting Sun"	"St Vrain Chain Gang Cycling Club (SVCG) - Longmont, CO"	4	1534289400000	"2018-08-14"	"04:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/St-Vrain-Chain-Gang/events/253560718/"
"Understanding the real value of Open Source with nopCommerce, John Baluka"	"Boulder .NET User Group"	11	1534290300000	"2018-08-14"	"04:45:00 PM"	"NULL"	"Kiosk Information Systems"	"1480  Arthur Ave"	"https://www.meetup.com/Boulder-NET-User-Group/events/251046249/"
"Residential Real Estate Investment Club of Boulder"	"Residential Real Estate Investment Club of Boulder"	5	1534291200000	"2018-08-14"	"05:00:00 PM"	"NULL"	"Boulder Library Flagstaff Room"	"1001 Araphoe Ave"	"https://www.meetup.com/ResidentialRealEstateInvestmentClubOfBoulder/events/252865161/"
"Altar of the Brewpub - Rayback Collective"	"Boulder Atheists"	3	1534291200000	"2018-08-14"	"05:00:00 PM"	"NULL"	"Rayback Collective"	"2775 Valmont Road"	"https://www.meetup.com/Boulder-Atheists/events/253475581/"
"Boulder Hack Night"	"Boulder Hack Night"	3	1534291200000	"2018-08-14"	"05:00:00 PM"	"NULL"	"License No. 1"	"2115 13th St (downstairs)"	"https://www.meetup.com/Boulder-Hack-Night/events/253361312/"
"BIKE RIDE (INTERMEDIATE OR BEGINNER)"	"Boulder Outdoor Adventures Meetup (Boulder, CO)"	3	1534291200000	"2018-08-14"	"05:00:00 PM"	"NULL"	"Scott Carpenter Park"	"1505 30th St"	"https://www.meetup.com/Boulder-Outdoor-Adventures-Meetup/events/253634362/"
"Biases that influence our purchase decisions"	"Hacking Human Nature for Good"	16	1534292100000	"2018-08-14"	"05:15:00 PM"	"NULL"	"Boulder Public Library"	"1001 Arapahoe Avenue"	"https://www.meetup.com/Hacking-Human-Nature-for-Good/events/249846129/"
"Boulder Python Monthly Meetup"	"Boulder Python"	36	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Galvanize Boulder - Walnut Street"	"1023 Walnut Street"	"https://www.meetup.com/BoulderPython/events/252365041/"
"Meetup @ Puzzled Pint"	"Boulder Puzzles & Games Meetup"	12	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Boulder"	" "	"https://www.meetup.com/Boulder-Puzzles-Games/events/252819556/"
"Pizza Napoletana Cooking Class And Dinner with me # 30"	"Italian Food and Wine Lovers"	11	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Italian-food-and-wine-lovers/events/253592288/"
"Trivia Night at Oskar Blues"	"Longmont 20s & 30s Social Meetup"	8	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Oskar Blues Liquids & Solids"	"1555 S. Hover Rd."	"https://www.meetup.com/Longmont-20s-30s-Social-Meetup/events/253076189/"
"Dialogue Boulder"	"Dialogue Boulder"	5	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Desperately-Seeking-Dialogue/events/244703670/"
"8-week Advanced Novel and Short Story Workshop"	"Lighthouse Writers Workshop North"	5	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Office Evolution  "	" 357 S. McCaslin Blvd., Suite 200     "	"https://www.meetup.com/Lighthouse-Writers-North/events/252640381/"
"[Boulder Python] Monthly Meetup"	"Front Range Pythoneers"	8	1.534293e+12	"2018-08-14"	"05:30:00 PM"	"NULL"	"Galvanize - Boulder "	"1023 Walnut Street "	"https://www.meetup.com/frpythoneers/events/252659304/"
"SHORT FORM Open Improv!"	"Boulder Improv Collaborative"	7	1534294800000	"2018-08-14"	"06:00:00 PM"	"10"	"Wesley Chapel"	"1290 Folsom St."	"https://www.meetup.com/BoulderImprov/events/253517845/"
"Guided Meditation, Sitting Meditation and Discussion"	"Dharma Ocean Boulder"	5	1534294800000	"2018-08-14"	"06:00:00 PM"	"NULL"	"Dharma Ocean Boulder - New Location!"	"7102 La Vista Place"	"https://www.meetup.com/DharmaOceanBoulder/events/253475688/"
"Open mic at Front Range Brewing. "	"Acoustic Music Community"	3	1534294800000	"2018-08-14"	"06:00:00 PM"	"NULL"	"Front Range Brewing Company"	"400 West South Boulder Road #1650"	"https://www.meetup.com/Acoustic-Music-Community/events/253165710/"
"Open House - Every Tuesday"	"Solid State Depot - The Boulder Hackerspace"	3	1534296600000	"2018-08-14"	"06:30:00 PM"	"NULL"	"Solid State Depot"	"1965 33rd Street, UNIT B"	"https://www.meetup.com/SolidStateDepot/events/253443923/"
"The Referral Partnership Weekly Meeting"	"The Referral Partnership Weekly Meeting"	8	1534341600000	"2018-08-15"	"07:00:00 AM"	"NULL"	"Pine Street Church"	"1237 Pine Street"	"https://www.meetup.com/The-Referral-Partnership/events/248062881/"
"Shut Up & Write!™ Louisville, Colorado"	"Shut Up & Write!™ Denver"	3	1534345200000	"2018-08-15"	"08:00:00 AM"	"NULL"	"Alfalfa's Community Room "	"785 E South Boulder Road"	"https://www.meetup.com/shutupandwritedenver/events/253317454/"
"Meditaciones - Introduccion to Mindful Meditation (Conciencia Plena)"	"Boulder Spanish Meetup!"	3	1.534347e+12	"2018-08-15"	"08:30:00 AM"	"NULL"	"Boulder Spanish"	"4845 Pearl East Circle"	"https://www.meetup.com/boulderspanish/events/253596699/"
"Weekly Toastmasters Meeting"	"CO Xpressionists Toastmasters in Longmont"	5	1.534356e+12	"2018-08-15"	"11:00:00 AM"	"NULL"	"Xilinx"	"1951 S Fordham St"	"https://www.meetup.com/COxpressionists-Toastmasters-in-Longmont/events/253364620/"
"Boulder Networking Referral Group"	"4BR - Building Better Business by Referral"	10	1534370400000	"2018-08-15"	"03:00:00 PM"	"NULL"	"FATE Brewing Co"	"1600 38th Street"	"https://www.meetup.com/4BR-Building-Better-Business-by-Referral/events/252525010/"
"Boulder SEO / Northern Colorado SEO Meetup"	"Boulder SEO / Northern Colorado SEO"	5	1534375800000	"2018-08-15"	"04:30:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Boulder-Colorado-SEO/events/252949736/"
"August Meetup"	"Boulder JS"	37	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"Galvanize - Boulder"	"1023 Walnut Street"	"https://www.meetup.com/Boulder-JS/events/250857024/"
"Blue Lake (IPWA) *SUNSET HIKE*"	"Boulder CHAOS"	7	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"Boulder County Justice Center Parking Lot"	"1777 6th Street"	"https://www.meetup.com/BoulderCHAOS/events/252530735/"
"Boulder Blockchain 0x1E"	"Boulder Blockchain Meetup"	13	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"MojoTech"	"1731 15th St #103"	"https://www.meetup.com/Boulder-Blockchain/events/253597424/"
"Write to Publish, Publish to Sell"	"Boulder Writers Alliance Meetup"	12	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"Boulder Public Library - Main Branch"	"1001 Arapahoe Avenue"	"https://www.meetup.com/Boulder-Writers-Alliance-Meetup/events/252166786/"
"Wine, Women & Wealth- Networking, Conversation & Wine!"	"Wine Women & Wealth - Boulder, CO"	4	1534377600000	"2018-08-15"	"05:00:00 PM"	"NULL"	"The Studio Boulder"	"3550 Frontier Ave Unit A2"	"https://www.meetup.com/Wine-Women-Wealth-Boulder-County-Meetup/events/251269247/"
"Elixir 101 (Beginners Welcome)"	"Boulder Elixir"	25	1534379400000	"2018-08-15"	"05:30:00 PM"	"NULL"	"Google Boulder"	"2930 Pearl St"	"https://www.meetup.com/boulder-elixir/events/251867463/"
"Longmont Spanish Meetup"	"Boulder Spanish Meetup!"	10	1534379400000	"2018-08-15"	"05:30:00 PM"	"NULL"	"Old Chicago"	"1805 Industrial Circle"	"https://www.meetup.com/boulderspanish/events/253420035/"
"8-week Intermediate Novel and Memoir Workshop"	"Lighthouse Writers Workshop North"	4	1534379400000	"2018-08-15"	"05:30:00 PM"	"NULL"	"Office Evolution  "	" 357 S. McCaslin Blvd., Suite 200     "	"https://www.meetup.com/Lighthouse-Writers-North/events/252640718/"
"8-week Intro to the Novel and Memoir"	"Lighthouse Writers Workshop North"	3	1534379400000	"2018-08-15"	"05:30:00 PM"	"NULL"	"Office Evolution  "	" 357 S. McCaslin Blvd., Suite 200     "	"https://www.meetup.com/Lighthouse-Writers-North/events/252640492/"
"Puppy Kindergarten Social"	"Puppy Kindergarten Social"	17	1534381200000	"2018-08-15"	"06:00:00 PM"	"NULL"	"Training Spot"	"1280 Centaur Village Drive"	"https://www.meetup.com/Puppy-Kindergarten-Social/events/252758591/"
"New Member Orientation (For Paid Members Only)"	"TinkerMill: The Longmont Makerspace"	8	1534381200000	"2018-08-15"	"06:00:00 PM"	"NULL"	"TinkerMill on Delaware Pl."	"1840 Delaware Pl."	"https://www.meetup.com/LongmontHackerSpace/events/253397735/"
"Bourbon & Blues with Eef & The Blue Express"	"Longmont Lafayette Drinking and Dancing"	6	1534381200000	"2018-08-15"	"06:00:00 PM"	"NULL"	"Nissis"	"2675 North Park Drive"	"https://www.meetup.com/Longmont-Lafayette-Drinking-and-Dancing/events/253224975/"
"Learn to Use the SSD Shopbot - Class 2 of 3"	"Solid State Depot - The Boulder Hackerspace"	4	1534381200000	"2018-08-15"	"06:00:00 PM"	"NULL"	"Solid State Depot"	"1965 33rd Street, UNIT B"	"https://www.meetup.com/SolidStateDepot/events/253635252/"
"Bagua Training"	"Front Range Bagua"	3	1534384800000	"2018-08-15"	"07:00:00 PM"	"NULL"	"NULL"	"NULL"	"https://www.meetup.com/Front-Range-Bagua/events/253554088/"
"Hot & Powerful Women & Coffee"	"Wildly Successful Woman™  Boulder"	9	1534429800000	"2018-08-16"	"07:30:00 AM"	"NULL"	"Boulder Marriott"	"2660 Canyon Blvd"	"https://www.meetup.com/wildlysuccessfulwomanboulder/events/251715558/"
"NIST/Kohler Mesa Hike"	"Boulder Ramblers"	19	1534431600000	"2018-08-16"	"08:00:00 AM"	"NULL"	"End of King Avenue"	"22nd and King Avenue"	"https://www.meetup.com/BoulderRamblers/events/250358661/"
"BoulderNet 1st & 3rd Thursdays of the month Networking Meeting"	"BoulderNet"	7	1534431600000	"2018-08-16"	"08:00:00 AM"	"NULL"	"Mountain View United Methodist"	"355 Ponca Place"	"https://www.meetup.com/BoulderNet-Meetup/events/252914914/"
"CU Boulder Women Employees Lunch Hour "	"CU Boulder Women's Happy Hour"	4	1534440600000	"2018-08-16"	"10:30:00 AM"	"NULL"	"Dougs Day Diner"	"2400 Arapahoe Ave"	"https://www.meetup.com/CU-Boulder-Womens-Happy-Hour/events/253313594/"
"Join Women Leaders.... Build Relationships, Referrals & Your Business, Lafayette"	"WINGS Women In Network Generate Success, Amazing W - Chapter"	8	1534442400000	"2018-08-16"	"11:00:00 AM"	"NULL"	"95a Bistro and Sushi"	"1381 Forest Park Circle"	"https://www.meetup.com/WINGS-Women-In-Network-Generate-Success-Lafayette-AW-Chapter/events/253112358/"
"Lunch With Boulder Libertarians"	"Boulder Libertarian Meetup"	3	1534443300000	"2018-08-16"	"11:15:00 AM"	"NULL"	"Carelli's of Boulder"	"30th and Baseline"	"https://www.meetup.com/Boulder-Libertarian-Meetup/events/253585231/"
